  1. Achega                             → Minde, Portugal  [freguesía]
136. Godoy Cruz                         → Godoy Cruz  [gran ciudad, ciudad]
137. González Catán                     → González Catán  [gran ciudad, localidad, ciudad d]
138. Gregoria Pérez                     → Nueve de Julio Department, Santa Fe  [departamento de Argentina]
139. Guevara                            → Guevara  [concejo de Álava, entidad singul]
140. Guillermo Enrique Granville        → ARA Granville (P-33)  [corbeta]
141. Gándara                            → QQ816160  [municipio de Filipinas]
142. Gómez de Fonseca                   → Koldo Case  [escándalo de corrupción, litigio]
143. Hermanas Mirabal                   → Mirabal sisters  [grupo de hermanas, sibling trio]
144. Hidalgo                            → QQ80903  [estado de México]
145. Hortiguera                         → Battle of Cerrito  [batalla]
146. Hudson                             → Santiago del Estero Province  [provincia de Argentina]
147. Humberto I                         → QQ8876899  [estación subterránea, estación d]
148. Humboldt                           → QQ152087  [University of Excellence, compre]
149. Inclán                             → Inclán-Mezquita Al Ahmad (subte de Bue  [estación subterránea, estación d]
150. Ingeniero Antonio Vilar            → Casa Matriz del Banco Popular Argentin  [edificio]
151. Ingeniero Arquitecto Jorge Bunge   → Bunge & Born  [negocio, empresa]
152. Ingeniero César Manuel Polledo     → Organización de Arquitectura Moderna  [organización]
153. Intendente Bunge                   → Emilio V. Bunge  [localidad]
154. Intendente Pinedo                  → Palacio Pineda  [palacio]
155. Iraola                             → Tolosa (La Plata)  [villa]
156. Irene Orlando                      → Huracán Irene  [huracán, ciclón tropical]
157. Isidro Lorea                       → Plaza del Congreso  [plaza]
158. Iturri                             → QQ483453  [type of architectural structure]
159. Itzhak Rabin                       → Centro de Estudios Judíos en Shanghái  [facultad universitaria]
160. J. F. Bateman                      → Fiebre amarilla en Buenos Aires  [epidemia]
161. Jacinto Oddone                     → Guildism  [ideología política, ideología ec]
162. Joaquín Gómez Somavilla            → Tercio de Cántabros Montañeses  [batallón (España), batallón de i]
163. Jorge N. Williams                  → Plazoleta Jorge Williams  [plaza]
164. José A. Cortejarena                → El Siglo Médico  [revista]
165. José Aarón Salmún Feijóo           → Línea 100 (Buenos Aires)  [ruta de transporte]
166. José Barros Pazos                  → Villa Lugano  [barrios de la ciudad de Buenos A]
167. José Celedonio Balbín              → Cantabria  [comunidad autónoma]
168. José Dames                         → Notre Dame High School (San Jose, Cali  [escuela secundaria superior]
169. José E. Carballido                 → Patagotitan  [taxón paleontológico]
170. José Eusebio Agüero                → Eusebio (name)  [nombre masculino]
171. José Ingenieros                    → QQ5842891  [estación de ferrocarril]
172. José Soldati                       → Villa Lugano  [barrios de la ciudad de Buenos A]
173. Juan Bautista Prímoli              → Basilica of Our Lady of the Pillar, Bu  [basílica menor, iglesia parroqui]
174. Juan Darquier                      → Cámara de Diputados de la Provincia de  [poder legislativo, cámara de dip]
175. Juan M. Coghlan                    → Estación Coghlan  [estación de ferrocarril]
176. Juan Maffioli                      → Premio LericiPea  [premio literario]
177. Juan Tronconi                      → Juan Tronconi  [localidad]
178. Juan de Castro                     → Carreño  [concejo]
179. Juana María de Lara                → Mestizo  [Casta, etnia]
180. Juez Tedín                         → List of mayors and chiefs of governmen  [artículo de lista de Wikimedia]
181. Julio Argentino Noble              → Argentine National Anthem  [himno nacional]
182. Julio Víctor González              → González (surname)  [apellido, apellido patronímico]
183. La Mar                             → Mar del Plata  [gran ciudad, sede de gobierno, l]
184. Lacarra                            → List of people from the Basque Country  [artículo de lista de Wikimedia]
185. Lafayette                          → II milenio  [milenio]
186. Laguna                             → Laguna  [?]
187. Larraya                            → Línea D9 (Montevideo)  [línea de autobús]
188. Larrea                             → Larrea  [taxón]
189. Lascano                            → Lascano (Uruguay)  [villa]
190. Lavardén                           → Plataforma Lavardén  [centro cultural, teatro]
191. Liborio Pupillo                    → Elecciones legislativas de Argentina d  [elección legislativa de Argentin]
192. Llorente                           → QQ314070  [municipio de Filipinas]
193. Lorea                              → Plaza del Congreso  [plaza]
194. Luchter                            → Avenida Rivadavia  [avenida, calle]
195. Luis Alberto Herrera               → Avenida Doctor Luis Alberto de Herrera  [avenida]
196. Luján                              → QQ54107  [sede de gobierno, localidad, ciu]
197. Malabia                            → QQ5244756  [estación subterránea, estación d]
198. Manuel J. Samperio                 → El Bienamado (telenovela mexicana)  [serie de televisión]
199. Manzanares                         → Río Manzanares  [río]
200. Marcelo Gamboa                     → La usurpadora (telenovela mexicana)  [serie de televisión]
201. Martiniano Bonorino                → Cámara de Diputados de la Provincia de  [poder legislativo, cámara de dip]
202. Martín Coronado                    → Teatro General San Martín  [centro artístico, teatro, cine]
203. María Robotti de Bulzani           → Grito de Alcorta  [rebelión]
204. Mayor Arturo Pedro Luisoni         → Línea 75 (Buenos Aires)  [línea de colectivo de Buenos Air]
205. Medina                             → Medina  [holy city of Islam, gran ciudad]
206. Miguel A. Camino                   → Camino de Santiago  [red de sendas]
207. Miguel Couto                       → São Miguel do Couto  [antigua freguesia de Portugal]
208. Ministro Brin                      → Estadio de Ministro Brin y Sengüel  [estadio de fútbol, estructura ar]
209. Miró                               → La Unión (Montevideo)  [barrio]
210. Mom                                → QQ188740  [empresa productora, organización]
211. Mompox                             → Santa Cruz de Mompox  [municipio de Colombia, ciudad de]
212. Monroe                             → QQ995533  [ciudad de Estados Unidos, sede d]
213. Monte Castro                       → Monte Castro  [barrios de la ciudad de Buenos A]
214. Montenegro                         → Distrito de Huanuhuanu  [distrito de Perú]
215. Morlote                            → Ninth Legislature of the National Asse  [poder legislativo]
216. Muñecas                            → QQ6034940  [entidad singular de población]
217. Mártires Palotinos                 → Echeverría-Mártires Palotinos (subte d  [estación subterránea, estación d]
218. Méndez                             → Mendez  [apellido]
219. Méndez de Andés                    → Villa Excélsior  [vivienda]
220. Necochea                           → Necochea  [sede de gobierno, localidad, ciu]
221. Nicolás Descalzi                   → QQ5843918  [parada de tranvía]
222. Nicolás Granada                    → Granada  [municipio de España]
223. Núñez                              → Núñez (Buenos Aires)  [barrios de la ciudad de Buenos A]
224. Obrero Roberto Núñez               → Movimiento obrero argentino  [?]
225. Ohm                                → Gastronomía de la provincia de Lugo  [gastronomía regional de España]
226. Olivera                            → Olivera  [localidad]
227. Orma                               → United Provinces of the Río de la Plat  [Estado desaparecido, Estado sobe]
228. Osvaldo Cruz                       → QQ1761462  [municipio de Brasil]
229. Otamendi                           → Palacio Belgrano Otamendi  [palacio, museo]
230. Otero                              → Otero  [municipio de España]
231. O´brien                            → Ua Briain  [dinastía]
232. Pacífico Víctor Lambertucci        → Portuguese Brazilians  [etnia]
233. Padre Enrique Contardi             → Cucurbita maxima var. zapallito  [taxón]
234. Padre Mario Luis Migone            → Cándida (película de 1939)  [película]
235. Patrón                             → Patrón  [marca registrada, marca, negocio]
236. Paul Groussac                      → Biblioteca Nacional (Argentina)  [biblioteca nacional]
237. Paula Albarracín de Sarmiento      → Villa Paula Albarracín de Sarmiento  [asentamiento]
238. Pedro Echagüe                      → Echague  [municipio de Filipinas]
239. Pedro de Jerez                     → Iglesia de San Pedro (Jerez de la Fron  [iglesia]
240. Pereyra                            → Pereyra  [localidad]
241. Pillado                            → Tercer Gobierno Fraga  [Gobierno]
242. Pirán                              → Piran  [villa, ciudad]
243. Pizzurno                           → Carcarañá (ciudad)  [municipio]
244. Plaza                              → Plaza  [?]
245. Plaza de Isidora                   → Plaza Perú (Santiago de Chile)  [?]
246. Presidente Quintana                → QQ5844303  [estación de ferrocarril]
247. Profesor Doctor Pedro Chutro       → Línea 118 (Buenos Aires)  [línea de autobús]
248. Profesora Marina Margarita Ravioli → Gastronomía de Italia  [cocina nacional]
249. Puerto Madero                      → Puerto Madero  [rambla, puerto, barrios de la ci]
250. Quirós                             → Quirós  [concejo]
251. Ramallo                            → QQ2227170  [código postal, ciudad de Argenti]
252. Raulet                             → Copper indium gallium selenide solar c  [?]
253. Regís Martínez                     → Argentine Constitution of 1853  [constitución]
254. Renque Curá                        → Moquehue  [localidad]
255. Ricardo Llanes                     → Llanes  [concejo]
256. Riglos                             → Riglos  [entidad singular de población]
257. Roberto Sánchez                    → Municipio de Melchor Ocampo (Estado de  [municipio de México]
258. Robertson                          → Cementerio Británico  [cementerio]
259. Rocamora                           → Rocamora  [localidad]
260. Rodney                             → Medalla Franklin  [premio científico, medalla]
261. Roentgen                           → Rayos X  [radiación electromagnética]
262. Romero                             → Florencio Varela (ciudad)  [gran ciudad, sede de gobierno, l]
263. Rosa H. Cirullo de Carnaghi        → Montoneros  [organización armada, movimiento ]
264. Salvigny                           → Línea 115 (Buenos Aires)  [línea de autobús]
265. San Cayetano de Liniers            → Liniers  [barrios de la ciudad de Buenos A]
266. San Cristóbal                      → QQ820235  [gran ciudad, ciudad]
267. San Francisco Javier               → QQ1016611  [capital de municipio, entidad si]
268. San Miguel Garicoits               → QQ15274894  [iglesia]
269. San Ricardo                        → San Ricardo  [municipio de Filipinas]
270. San Roque González de Santa Cruz   → San Roque González de Santa Cruz Bridg  [puente ferroviario, puente inter]
271. Sanabria                           → Sanabria  [comarca de España]
272. Santojanni                         → Hospital General de Agudos Donación Fr  [hospital, organización sanitaria]
273. Saravia                            → Governor of Veracruz  [cargo público]
274. Saraza                             → Saraza  [Q61878]
275. Saráchaga                          → Unitarian League  [confederación]
276. Severo García Grande de Zequeira   → Línea 63 (Buenos Aires)  [línea de colectivo de Buenos Air]
277. Simbrón                            → Acassuso (Buenos Aires)  [entidad territorial administrati]
278. Soldado de la Frontera             → Frontera (Tabasco)  [localidad de México]
279. Soldado de la Independencia        → Tumba del soldado desconocido  [?]
280. Subcomisario Severino José Cirigliano → Italian Argentines  [diáspora o inmigración según paí]
281. Superí                             → Battle of Tucumán  [batalla]
282. Sánchez                            → Sánchez  [apellido, apellido patronímico]
283. Temperley                          → Temperley  [gran ciudad, ciudad]
284. Teniente Coronel Casimiro Recuero  → Línea 46 (Buenos Aires)  [línea de colectivo de Buenos Air]
285. Teniente General Emilio Mitre      → Teniente General Emilio Mitre  [pueblo]
286. Teniente General Eustoquio Frías   → Flag of Argentina  [bandera nacional]
287. Teniente General Luis J. Dellepiane → QQ5714110  [carretera]
288. Thames                             → QQ19686  [río]
289. Timoteo Gordillo                   → List of Club Atlético River Plate mana  [artículo de lista de Wikimedia]
290. Toll                               → Receptor de tipo Toll  [grupo o clase de proteínas]
291. Tomás Liberti                      → Bomberos Voluntarios de La Boca  [cuerpo de bomberos voluntarios]
292. Tomás Valencia                     → Iglesia de Santo Tomás y San Felipe Ne  [iglesia]
293. Trolé                              → Trol  [pueblo mítico]
294. Valdenegro                         → Eusebio (name)  [nombre masculino]
295. Valle                              → Valle  [tipo de característica]
296. Varela                             → QQ2359107  [gran ciudad, sede de gobierno, l]
297. Ventura Bosch                      → List of mayors of Madrid  [artículo de lista de personas de]
298. Videla Castillo                    → QQ124731772  [calle]
299. Villa General Mitre                → Villa General Mitre  [barrios de la ciudad de Buenos A]
300. Villa Ortúzar                      → Villa Ortúzar  [barrios de la ciudad de Buenos A]
301. Villa Soldati                      → Villa Lugano  [barrios de la ciudad de Buenos A]
302. Zamudio                            → Zamudio  [municipio de España]
303. Zavaleta                           → Argentine Constitution of 1819  [constitución]
304. Zárraga                            → Museo Nacional de Arte (México)  [museo nacional, museo de arte, m]
305. Ángela M. Aieta de Gullo           → Megacausa ESMA  [proceso judicial, juicios por de]
